college_id,college_name,state,city,tier,institution_type,entrance_exam,cutoff
COL001,Indian Institute of Technology Bombay,Maharashtra,Mumbai,Tier1,IIT,JEE Advanced,100
COL002,Indian Institute of Technology Delhi,Delhi,New Delhi,Tier1,IIT,JEE Advanced,105
COL003,Indian Institute of Technology Madras,Tamil Nadu,Chennai,Tier1,IIT,JEE Advanced,110
COL004,Indian Institute of Technology Kanpur,Uttar Pradesh,Kanpur,Tier1,IIT,JEE Advanced,115
COL005,Indian Institute of Technology Kharagpur,West Bengal,Kharagpur,Tier1,IIT,JEE Advanced,120
COL006,Indian Institute of Technology Roorkee,Uttarakhand,Roorkee,Tier1,IIT,JEE Advanced,125
COL007,Indian Institute of Technology Guwahati,Assam,Guwahati,Tier1,IIT,JEE Advanced,130
COL008,Indian Institute of Technology Hyderabad,Telangana,Hyderabad,Tier1,IIT,JEE Advanced,135
COL009,Indian Institute of Technology Indore,Madhya Pradesh,Indore,Tier2,IIT,JEE Advanced,840
COL010,Indian Institute of Technology Patna,Bihar,Patna,Tier2,IIT,JEE Advanced,845
COL011,Indian Institute of Technology Mandi,Himachal Pradesh,Mandi,Tier2,IIT,JEE Advanced,850
COL012,Indian Institute of Technology Bhubaneswar,Odisha,Bhubaneswar,Tier2,IIT,JEE Advanced,855
COL013,Indian Institute of Technology Gandhinagar,Gujarat,Gandhinagar,Tier2,IIT,JEE Advanced,860
COL014,Indian Institute of Technology Jodhpur,Rajasthan,Jodhpur,Tier2,IIT,JEE Advanced,865
COL015,Indian Institute of Technology Ropar,Punjab,Rupnagar,Tier2,IIT,JEE Advanced,870
COL016,Indian Institute of Technology Bhilai,Chhattisgarh,Bhilai,Tier2,IIT,JEE Advanced,875
COL017,Indian Institute of Technology Goa,Goa,Ponda,Tier2,IIT,JEE Advanced,880
COL018,Indian Institute of Technology Jammu,Jammu and Kashmir,Jammu,Tier2,IIT,JEE Advanced,885
COL019,Indian Institute of Technology Dharwad,Karnataka,Dharwad,Tier2,IIT,JEE Advanced,890
COL020,Indian Institute of Technology Tirupati,Tamil Nadu,Tirupati,Tier2,IIT,JEE Advanced,895
COL021,Indian Institute of Technology Palakkad,Kerala,Palakkad,Tier2,IIT,JEE Advanced,900
COL022,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,Tier1,IIT,JEE Advanced,205
COL023,Indian Institute of Technology (ISM) Dhanbad,Jharkhand,Dhanbad,Tier2,IIT,JEE Advanced,910
COL024,Indian Institute of Science Bengaluru,Karnataka,Bengaluru,Tier1,IISc,JEE Advanced,215
COL025,Birla Institute of Technology and Science Pilani,Rajasthan,Pilani,Tier1,Private,BITSAT,324
COL026,Birla Institute of Technology and Science Goa,Goa,Goa,Tier2,Private,BITSAT,285
COL027,Birla Institute of Technology and Science Hyderabad,Telangana,Hyderabad,Tier2,Private,BITSAT,286
COL028,National Institute of Technology Tiruchirappalli,Tamil Nadu,Tiruchirappalli,Tier1,NIT,JEE Main,3350
COL029,National Institute of Technology Karnataka Surathkal,Karnataka,Surathkal,Tier1,NIT,JEE Main,3400
COL030,National Institute of Technology Warangal,Telangana,Warangal,Tier1,NIT,JEE Main,3450
COL031,National Institute of Technology Rourkela,Odisha,Rourkela,Tier1,NIT,JEE Main,3500
COL032,National Institute of Technology Calicut,Tamil Nadu,Kozhikode,Tier1,NIT,JEE Main,3550
COL033,Malaviya National Institute of Technology Jaipur,Rajasthan,Jaipur,Tier1,NIT,JEE Main,3600
COL034,Motilal Nehru National Institute of Technology Allahabad,Uttar Pradesh,Prayagraj,Tier1,NIT,JEE Main,3650
COL035,Visvesvaraya National Institute of Technology Nagpur,Maharashtra,Nagpur,Tier1,NIT,JEE Main,3700
COL036,Sardar Vallabhbhai National Institute of Technology Surat,Gujarat,Surat,Tier1,NIT,JEE Main,3750
COL037,National Institute of Technology Kurukshetra,Uttar Pradesh,Kurukshetra,Tier2,NIT,JEE Main,9800
COL038,National Institute of Technology Durgapur,West Bengal,Durgapur,Tier2,NIT,JEE Main,9850
COL039,National Institute of Technology Jamshedpur,Jharkhand,Jamshedpur,Tier2,NIT,JEE Main,9900
COL040,National Institute of Technology Jalandhar,Punjab,Jalandhar,Tier2,NIT,JEE Main,9950
COL041,National Institute of Technology Silchar,Assam,Silchar,Tier2,NIT,JEE Main,10000
COL042,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,Bhopal,Tier2,NIT,JEE Main,10050
COL043,National Institute of Technology Raipur,Chhattisgarh,Raipur,Tier2,NIT,JEE Main,10100
COL044,National Institute of Technology Patna,Bihar,Patna,Tier2,NIT,JEE Main,10150
COL045,National Institute of Technology Hamirpur,Himachal Pradesh,Hamirpur,Tier2,NIT,JEE Main,10200
COL046,National Institute of Technology Agartala,Tripura,Agartala,Tier3A,NIT,JEE Main,22250
