college_id,college_name,state,city,tier,institution_type,entrance_exam
COL001,Indian Institute of Technology Bombay,Maharashtra,Mumbai,Tier1,IIT,JEE Advanced
COL002,Indian Institute of Technology Delhi,Delhi,New Delhi,Tier1,IIT,JEE Advanced
COL003,Indian Institute of Technology Madras,Tamil Nadu,Chennai,Tier1,IIT,JEE Advanced
COL004,Indian Institute of Technology Kanpur,Uttar Pradesh,Kanpur,Tier1,IIT,JEE Advanced
COL005,Indian Institute of Technology Kharagpur,West Bengal,Kharagpur,Tier1,IIT,JEE Advanced
COL006,Indian Institute of Technology Roorkee,Uttarakhand,Roorkee,Tier1,IIT,JEE Advanced
COL007,Indian Institute of Technology Guwahati,Assam,Guwahati,Tier1,IIT,JEE Advanced
COL008,Indian Institute of Technology Hyderabad,Telangana,Hyderabad,Tier1,IIT,JEE Advanced
COL009,Indian Institute of Technology Indore,Madhya Pradesh,Indore,Tier2,IIT,JEE Advanced
COL010,Indian Institute of Technology Patna,Bihar,Patna,Tier2,IIT,JEE Advanced
COL011,Indian Institute of Technology Mandi,Himachal Pradesh,Mandi,Tier2,IIT,JEE Advanced
COL012,Indian Institute of Technology Bhubaneswar,Odisha,Bhubaneswar,Tier2,IIT,JEE Advanced
COL013,Indian Institute of Technology Gandhinagar,Gujarat,Gandhinagar,Tier2,IIT,JEE Advanced
COL014,Indian Institute of Technology Jodhpur,Rajasthan,Jodhpur,Tier2,IIT,JEE Advanced
COL015,Indian Institute of Technology Ropar,Punjab,Rupnagar,Tier2,IIT,JEE Advanced
COL016,Indian Institute of Technology Bhilai,Chhattisgarh,Bhilai,Tier2,IIT,JEE Advanced
COL017,Indian Institute of Technology Goa,Goa,Ponda,Tier2,IIT,JEE Advanced
COL018,Indian Institute of Technology Jammu,Jammu and Kashmir,Jammu,Tier2,IIT,JEE Advanced
COL019,Indian Institute of Technology Dharwad,Karnataka,Dharwad,Tier2,IIT,JEE Advanced
COL020,Indian Institute of Technology Tirupati,Tamil Nadu,Tirupati,Tier2,IIT,JEE Advanced
COL021,Indian Institute of Technology Palakkad,Kerala,Palakkad,Tier2,IIT,JEE Advanced
COL022,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,Tier1,IIT,JEE Advanced
COL023,Indian Institute of Technology (ISM) Dhanbad,Jharkhand,Dhanbad,Tier2,IIT,JEE Advanced
COL024,Indian Institute of Science Bengaluru,Karnataka,Bengaluru,Tier1,IISc,JEE Advanced
